SIGLA UF,NOME MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,CARGO OU FUNÇÃO DO CURSISTA,FORMAÇÃO,SITUAÇÃO ATUAL
SP,SÃO BERNARDO DO CAMPO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RO,VILHENA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MG,NOVA SERRANA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
SE,TOBIAS BARRETO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
BA,MACAÚBAS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SE,SÃO CRISTÓVÃO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MT,LUCIARA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MA,PINHEIRO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PR,CURITIBA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SP,SANTOS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MG,ERVÁLIA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
CE,MARACANAÚ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
CE,TIANGUÁ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
PB,CAMPINA GRANDE PB,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SP,MONTE AZUL PAULISTA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
RJ,CAMPOS DOS GOYTACAZES,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PA,SEMED BARCARENA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RN,PARNAMIRIM,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MA,BARRA DO CORDA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Mestrado,MATRICULADO
RS,VIAMÃO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RS,CANOAS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Mestrado,MATRICULADO
GO,NOVO GAMA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
GO,URUANA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
SP,MAUÁ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
CE,TIANGUÁ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
BA,LAPÃO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Ensino Superior,MATRICULADO
MG,ABAETÉ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
PE,SANTA CRUZ DO CAPIBARIBE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
SC,SÃO JOSÉ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Doutorado,MATRICULADO
SP,SÃO MANUEL,MUNICIPAL,DIRETOR(A) DE ESCOLA,Ensino Superior,DESISTENTE
PR,SECRETARIA MUNICIPAL DE EDUCAÇÃO DE PÉROLA D´OESTE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SE,NOSSA SENHORA DO SOCORRO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PE,JABOATÃO DOS GUARARAPES,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
ES,VITÓRIA,ESTADUAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
PR,CAMPO LARGO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PI,FLORIANO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
CE,ALTO SANTO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PB,SANTA RITA/PB,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PE,SECRETARIA DE EDUCAÇÃO DE SANTA CRUZ DO CAPIBARIBE,MUNICIPAL,DIRETOR(A) DE ESCOLA,Doutorado,MATRICULADO
PA,MARABÁ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RS,VIAMÃO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PA,MARABÁ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
GO,GOIANÉSIA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
BA,JOÃO DOURADO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MG,ERVÁLIA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
GO,GOIANÉSIA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Ensino Superior,MATRICULADO
MG,ARAXÁ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MT,CAMPO NOVO DO PARECIS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
GO,ITABERAÍ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PR,LONDRINA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RS,ROCA SALES,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PR,SANTANA DO ITARARÉ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Ensino Superior,DESISTENTE
PI,JOSÉ DE FREITAS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RN,CANGUARETAMA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RS,ALVORADA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MA,COROATÁ MARANHÃO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Ensino Superior,DESISTENTE
RS,PORTO ALEGRE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Doutorado,MATRICULADO
RS,DOM FELICIANO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PE,CABO DE SANTO AGOSTINHO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
AL,PALMEIRA DOS ÍNDIOS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
SP,MORUNGABA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
CE,EUSÉBIO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
GO,RIO VERDE,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PB,ALHANDRA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
CE,CAUCAIA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
TO,CONCEIÇÃO DO TOCANTINS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Ensino Superior,MATRICULADO
MS,PONTA PORÃ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
AP,SANTANA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MG,POÇOS DE CALDAS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
GO,RIO VERDE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PE,IPOJUCA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PI,PRATA DO PIAUÍ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PR,PÉROLA D'OESTE,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
SC,JARAGUÁ DO SUL,MUNICIPAL,DIRETOR(A) DE ESCOLA,Mestrado,MATRICULADO
MG,RIO PARANAÍBA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
SP,ROSEIRA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MG,ARAXÁ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SP,SÃO VICENTE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
CE,TIANGUÁ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,DESISTENTE
GO,PILAR DE GOIÁS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Ensino Superior,DESISTENTE
RS,ALVORADA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
SP,SANTOS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PR,LONDRINA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RO,VILHENA - SEMED,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RS,ARROIO DO TIGRE,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
SE,SÃO CRSITÓVÃO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PB,SANTA RITA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PR,NOVA ESPERANÇA DO SUDOESTE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
RJ,SÃO GONÇALO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
AM,MANACAPURU,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
AP,SANTANA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RN,JARDIM DE ANGICOS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Ensino Superior,MATRICULADO
BA,BOA VISTA DO TUPIM,MUNICIPAL,DIRETOR(A) DE ESCOLA,Ensino Superior,MATRICULADO
BA,EUNAPOLIS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RS,SANTO CRISTO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MT,CAMPO NOVO DO PARECIS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MA,BALSAS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PA,BRAGANÇA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Ensino Superior,MATRICULADO
PE,PAULISTA- PE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PR,CASCAVEL,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PE,OLINDA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
BA,CÂNDIDO SALES,MUNICIPAL,DIRETOR(A) DE ESCOLA,Ensino Superior,MATRICULADO
BA,RIACHO DE SANTANA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RO,GUAJARÁ-MIRTIM,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PI,CAMPO MAIOR,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PR,CAMPO LARGO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MS,PONTA PORÃ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Ensino Superior,MATRICULADO
PA,ALTAMIRA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
AM,MANACAPURU,MUNICIPAL,DIRETOR(A) DE ESCOLA,Ensino Superior,MATRICULADO
PA,BRAGANÇA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
AL,CORURIPE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SC,PASSOS MAIA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
SC,NAVEGANTES,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RJ,SÃO GONÇALO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PR,ARAUCÁRIA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
BA,CAIRU,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Ensino Superior,MATRICULADO
PE,MARAIAL,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
SC,TIMBÉ DO SUL,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
GO,JATAI,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
CE,ARATUBA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MG,IPANEMA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
ES,VITÓRIA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SP,GUARUJA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PR,PONTA GROSSA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Doutorado,MATRICULADO
ES,VILA VELHA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
ES,VILA PAVÃO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RJ,MACAÉ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MG,NOVA LIMA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
AL,ARAPIRACA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MG,BELO HORIZONTE,ESTADUAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
TO,PALMAS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,DESISTENTE
SC,CAÇADOR,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
SP,GUARUJÁ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Ensino Superior,MATRICULADO
MA,BACABAL,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RS,SANTO CRISTO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
GO,NOVO GAMA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RS,PORTO ALEGRE,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
BA,JOÃO DOURADO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PR,PONTA GROSSA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RJ,VOLTA REDONDA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MG,CONSELHEIRO LAFAIETE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SE,ITABAIANA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
CE,CANINDÉ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
CE,HORIZONTE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Ensino Superior,MATRICULADO
RR,SÃO JOÃO DA BALIZA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
AC,RIO BRANCO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
GO,VALPARAÍSO DE GOIÁS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RN,TOUROS RN,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
CE,CHORÓ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,DESISTENTE
RN,TOUROS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
BA,LAPÃO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RN,APODI,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
MG,MONTES CLAROS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PB,MONTEIRO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
BA,VITORIA DA CONQUISTA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RS,PELOTAS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MG,CONSELHEIRO LAFAIETE,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
TO,PARAÍSO DO TOCANTINS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RS,SANTA MARIA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SP,MOGI DAS CRUZES,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SP,TAGUAÍ,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
SC,SÃO BENTO DO SUL,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
BA,JEQUIÉ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
BA,JUAZEIRO,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Mestrado,MATRICULADO
PI,JOSÉ DE FREITAS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
MG,SERRA DO SALITRE,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SP,ROSEIRA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RN,SÃO JOSÉ DE MIPIBU-RN,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
GO,CATALÃO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Mestrado,MATRICULADO
BA,URUÇUCA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RR,BOA VISTA SECRETARIA DE ESTADUAL EDUCAÇÃO,ESTADUAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PI,BOM JESUS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
PB,CAJAZEIRAS,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
PA,ANANINDEUA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
PE,JABOATÃO DOS GUARARAPES,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
RN,APODI,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
PE,MARAIAL,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
BA,VITÓRIA DA CONQUISTA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
SE,NOSSA SENHORA DO SOCORRO,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RO,CACOAL,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
AM,TEFÉ,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,MATRICULADO
BA,SANTO ANTÔNIO DE JESUS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RS,MOSTARDAS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
MT,SINOP,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,MATRICULADO
RS,CAPELA DE SANTANA,MUNICIPAL,REPRESENTANTE OU TÉCNICO DA SECRETARIA DE EDUCAÇÃO.,Especialização,DESISTENTE
BA,BARREIRAS,MUNICIPAL,DIRETOR(A) DE ESCOLA,Ensino Superior,MATRICULADO
SE,ITABAIANA,MUNICIPAL,DIRETOR(A) DE ESCOLA,Especialização,DESISTENTE
