SIGLA UF,NOME MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,CARGO OU FUNÇÃO DO CURSISTA,FORMAÇÃO,SITUAÇÃO ATUAL
BA,MACAÚBAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SE,SÃO CRISTÓVÃO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MT,LUCIARA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,PINHEIRO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,CURITIBA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,SANTOS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,ERVÁLIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
CE,MARACANAÚ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,TIANGUÁ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
PB,CAMPINA GRANDE PB,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,MONTE AZUL PAULISTA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
RJ,CAMPOS DOS GOYTACAZES,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PA,SEMED BARCARENA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RN,PARNAMIRIM,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,BARRA DO CORDA,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
RS,VIAMÃO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,CANOAS,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
GO,NOVO GAMA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
GO,URUANA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,MAUÁ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,TIANGUÁ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
BA,LAPÃO,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
MG,ABAETÉ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
PE,SANTA CRUZ DO CAPIBARIBE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
SC,SÃO JOSÉ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,DOUTORADO,MATRICULADO
SP,SÃO MANUEL,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,DESISTENTE
PR,SECRETARIA MUNICIPAL DE EDUCAÇÃO DE PÉROLA D´OESTE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SE,NOSSA SENHORA DO SOCORRO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PE,JABOATÃO DOS GUARARAPES,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
ES,VITÓRIA,ESTADUAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
PR,CAMPO LARGO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PI,FLORIANO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,ALTO SANTO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PB,SANTA RITA/PB,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PE,SECRETARIA DE EDUCAÇÃO DE SANTA CRUZ DO CAPIBARIBE,MUNICIPAL,DIRETOR(A),DOUTORADO,MATRICULADO
PA,MARABÁ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,VIAMÃO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PA,MARABÁ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
GO,GOIANÉSIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,JOÃO DOURADO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,ERVÁLIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
GO,GOIANÉSIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
MG,ARAXÁ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MT,CAMPO NOVO DO PARECIS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
GO,ITABERAÍ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,LONDRINA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,ROCA SALES,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,SANTANA DO ITARARÉ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,DESISTENTE
PI,JOSÉ DE FREITAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RN,CANGUARETAMA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,ALVORADA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,COROATÁ MARANHÃO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,DESISTENTE
RS,PORTO ALEGRE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,DOUTORADO,MATRICULADO
RS,DOM FELICIANO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PE,CABO DE SANTO AGOSTINHO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
AL,PALMEIRA DOS ÍNDIOS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,MORUNGABA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,EUSÉBIO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
GO,RIO VERDE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PB,ALHANDRA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,CAUCAIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
TO,CONCEIÇÃO DO TOCANTINS,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
MS,PONTA PORÃ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
AP,SANTANA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,POÇOS DE CALDAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
GO,RIO VERDE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PE,IPOJUCA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PI,PRATA DO PIAUÍ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,PÉROLA D'OESTE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,JARAGUÁ DO SUL,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
MG,RIO PARANAÍBA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,ROSEIRA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,ARAXÁ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,SÃO VICENTE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
CE,TIANGUÁ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
GO,PILAR DE GOIÁS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,DESISTENTE
RS,ALVORADA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,SANTOS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,LONDRINA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RO,VILHENA - SEMED,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,ARROIO DO TIGRE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SE,SÃO CRSITÓVÃO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PB,SANTA RITA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,NOVA ESPERANÇA DO SUDOESTE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
RJ,SÃO GONÇALO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
AM,MANACAPURU,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
AP,SANTANA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RN,JARDIM DE ANGICOS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
BA,BOA VISTA DO TUPIM,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
BA,EUNAPOLIS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,SANTO CRISTO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MT,CAMPO NOVO DO PARECIS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MA,BALSAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PA,BRAGANÇA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
PE,PAULISTA- PE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,CASCAVEL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PE,OLINDA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,CÂNDIDO SALES,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
BA,RIACHO DE SANTANA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RO,GUAJARÁ-MIRTIM,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,CAMPO MAIOR,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,CAMPO LARGO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MS,PONTA PORÃ,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
PA,ALTAMIRA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
AM,MANACAPURU,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
PA,BRAGANÇA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
AL,CORURIPE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SC,PASSOS MAIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
SC,NAVEGANTES,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RJ,SÃO GONÇALO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,ARAUCÁRIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
BA,CAIRU,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
PE,MARAIAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
SC,TIMBÉ DO SUL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
GO,JATAI,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,ARATUBA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,IPANEMA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
ES,VITÓRIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,GUARUJA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,PONTA GROSSA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,DOUTORADO,MATRICULADO
ES,VILA VELHA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
ES,VILA PAVÃO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RJ,MACAÉ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,NOVA LIMA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AL,ARAPIRACA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,BELO HORIZONTE,ESTADUAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
TO,PALMAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
SC,CAÇADOR,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,GUARUJÁ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
MA,BACABAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,SANTO CRISTO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
GO,NOVO GAMA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,PORTO ALEGRE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,JOÃO DOURADO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,PONTA GROSSA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RJ,VOLTA REDONDA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,CONSELHEIRO LAFAIETE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SE,ITABAIANA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
CE,CANINDÉ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,HORIZONTE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
RR,SÃO JOÃO DA BALIZA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AC,RIO BRANCO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
GO,VALPARAÍSO DE GOIÁS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RN,TOUROS RN,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
CE,CHORÓ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
RN,TOUROS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
BA,LAPÃO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RN,APODI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
MG,MONTES CLAROS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PB,MONTEIRO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,VITORIA DA CONQUISTA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,PELOTAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,CONSELHEIRO LAFAIETE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
TO,PARAÍSO DO TOCANTINS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,SANTA MARIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,MOGI DAS CRUZES,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,TAGUAÍ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,SÃO BENTO DO SUL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,JEQUIÉ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
BA,JUAZEIRO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
PI,JOSÉ DE FREITAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,SERRA DO SALITRE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,ROSEIRA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RN,SÃO JOSÉ DE MIPIBU-RN,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
GO,CATALÃO,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
BA,URUÇUCA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RR,BOA VISTA SECRETARIA DE ESTADUAL EDUCAÇÃO,ESTADUAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PI,BOM JESUS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
PB,CAJAZEIRAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
PA,ANANINDEUA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PE,JABOATÃO DOS GUARARAPES,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RN,APODI,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PE,MARAIAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
BA,VITÓRIA DA CONQUISTA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SE,NOSSA SENHORA DO SOCORRO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RO,CACOAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
AM,TEFÉ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
BA,SANTO ANTÔNIO DE JESUS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,MOSTARDAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MT,SINOP,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,CAPELA DE SANTANA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
BA,BARREIRAS,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
SE,ITABAIANA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
PE,IPOJUCA/PE,MUNICIPAL,DIRETOR(A),MESTRADO,DESISTENTE
SP,SÃO JOSÉ DO RIO PRETO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,DOUTORADO,MATRICULADO
CE,MARACANAÚ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,CANOAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,NOVA ESPERANÇA DO SUDOESTE,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
PA,PARAGOMINAS,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
